Themes ,ColName,TotalColForPerc,PercentageOf,Description of Field,Label,LatexTableTitle,Rank,Table
"Theme 11: Commuting  , Working from Home and Childcare",T11_3_D1,T11_3_T,Population aged 5 years and over,Under 15 mins,"Journey time to work, school or college is Under 15 mins",Transport (percentage of population aged 5 years and over),12,"Population aged 5 years and over by journey time to work, school or college "
,T11_3_D2,T11_3_T,Population aged 5 years and over,1/4 hour - under 1/2 hour,"Journey time to work, school or college is 1/4 hour - under 1/2 hour",Transport (percentage of population aged 5 years and over),13,"Population aged 5 years and over by journey time to work, school or college "
,T11_3_D3,T11_3_T,Population aged 5 years and over,1/2 hour - under 3/4 hour,"Journey time to work, school or college is 1/2 hour - under 3/4 hour",Transport (percentage of population aged 5 years and over),14,"Population aged 5 years and over by journey time to work, school or college "
,T11_3_D4,T11_3_T,Population aged 5 years and over,3/4 hour - under 1 hour,"Journey time to work, school or college is 3/4 hour - under 1 hour",Transport (percentage of population aged 5 years and over),15,"Population aged 5 years and over by journey time to work, school or college "
,T11_3_D5,T11_3_T,Population aged 5 years and over,1 hour - under 1 1/2 hours,"Journey time to work, school or college is 1 hour - under 1 1/2 hours",Transport (percentage of population aged 5 years and over),16,"Population aged 5 years and over by journey time to work, school or college "
,T11_3_D6,T11_3_T,Population aged 5 years and over,1 1/2 hours and over,"Journey time to work, school or college is 1 1/2 hours and over",Transport (percentage of population aged 5 years and over),17,"Population aged 5 years and over by journey time to work, school or college "
,T1_1AGE0T,T1_1AGETT,Persons,Age 0 - Total,Age 0 - Total,Age1,1,Population by Age
,T1_1AGE1T,T1_1AGETT,Persons,Age 1 - Total,Age 1 - Total,Age1,2,Population by Age
,T1_1AGE2T,T1_1AGETT,Persons,Age 2 - Total,Age 2 - Total,Age1,3,Population by Age
,T1_1AGE3T,T1_1AGETT,Persons,Age 3 - Total,Age 3 - Total,Age1,4,Population by Age
,T1_1AGE4T,T1_1AGETT,Persons,Age 4 - Total,Age 4 - Total,Age1,5,Population by Age
,T1_1AGE5T,T1_1AGETT,Persons,Age 5 - Total,Age 5 - Total,Age1,6,Population by Age
,T1_1AGE6T,T1_1AGETT,Persons,Age 6 - Total,Age 6 - Total,Age1,7,Population by Age
,T1_1AGE7T,T1_1AGETT,Persons,Age 7 - Total,Age 7 - Total,Age1,8,Population by Age
,T1_1AGE8T,T1_1AGETT,Persons,Age 8 - Total,Age 8 - Total,Age1,9,Population by Age
,T1_1AGE9T,T1_1AGETT,Persons,Age 9 - Total,Age 9 - Total,Age1,10,Population by Age
,T1_1AGE10T,T1_1AGETT,Persons,Age 10 - Total,Age 10 - Total,Age1,11,Population by Age
,T1_1AGE11T,T1_1AGETT,Persons,Age 11 - Total,Age 11 - Total,Age1,12,Population by Age
,T1_1AGE12T,T1_1AGETT,Persons,Age 12 - Total,Age 12 - Total,Age1,13,Population by Age
,T1_1AGE13T,T1_1AGETT,Persons,Age 13 - Total,Age 13 - Total,Age1,14,Population by Age
,T1_1AGE14T,T1_1AGETT,Persons,Age 14 - Total,Age 14 - Total,Age1,15,Population by Age
,T1_1AGE15T,T1_1AGETT,Persons,Age 15 - Total,Age 15 - Total,Age1,16,Population by Age
,T1_1AGE16T,T1_1AGETT,Persons,Age 16 - Total,Age 16 - Total,Age1,17,Population by Age
,T1_1AGE17T,T1_1AGETT,Persons,Age 17 - Total,Age 17 - Total,Age1,18,Population by Age
,T1_1AGE18T,T1_1AGETT,Persons,Age 18 - Total,Age 18 - Total,Age1,19,Population by Age
,T1_1AGE19T,T1_1AGETT,Persons,Age 19 - Total,Age 19 - Total,Age1,20,Population by Age
,T1_1AGE20_24T,T1_1AGETT,Persons,Age 20 - 24 - Total,Age 20 - 24 - Total,Age1,21,Population by Age
,T1_1AGE25_29T,T1_1AGETT,Persons,Age 25 - 29 - Total,Age 25 - 29 - Total,Age1,22,Population by Age
,T1_1AGE30_34T,T1_1AGETT,Persons,Age 30 - 34 - Total,Age 30 - 34 - Total,Age1,23,Population by Age
,T1_1AGE35_39T,T1_1AGETT,Persons,Age 35 - 39 - Total,Age 35 - 39 - Total,Age1,24,Population by Age
,T1_1AGE40_44T,T1_1AGETT,Persons,Age 40 - 44 - Total,Age 40 - 44 - Total,Age1,25,Population by Age
,T1_1AGE45_49T,T1_1AGETT,Persons,Age 45 - 49 - Total,Age 45 - 49 - Total,Age1,26,Population by Age
,T1_1AGE50_54T,T1_1AGETT,Persons,Age 50 - 54 - Total,Age 50 - 54 - Total,Age1,27,Population by Age
,T1_1AGE55_59T,T1_1AGETT,Persons,Age 55 - 59 - Total,Age 55 - 59 - Total,Age1,28,Population by Age
,T1_1AGE60_64T,T1_1AGETT,Persons,Age 60 - 64 - Total,Age 60 - 64 - Total,Age1,29,Population by Age
,T1_1AGE65_69T,T1_1AGETT,Persons,Age 65 - 69 - Total,Age 65 - 69 - Total,Age1,30,Population by Age
,T1_1AGE70_74T,T1_1AGETT,Persons,Age 70 - 74 - Total,Age 70 - 74 - Total,Age1,31,Population by Age
,T1_1AGE75_79T,T1_1AGETT,Persons,Age 75 - 79 - Total,Age 75 - 79 - Total,Age1,32,Population by Age
,T1_1AGE80_84T,T1_1AGETT,Persons,Age 80 - 84 - Total,Age 80 - 84 - Total,Age1,33,Population by Age
,T1_1AGEGE_85T,T1_1AGETT,Persons,Age 85 and over - Total,Age 85 and over - Total,Age1,34,Population by Age
,T1_1AGETT,T1_1AGETT,Persons,Total,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
"Theme 1: Sex, Age and Marital Status ",T1_1AGE0M,T1_1AGETM,Males,Age 0 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE1M,T1_1AGETM,Males,Age 1 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE2M,T1_1AGETM,Males,Age 2 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE3M,T1_1AGETM,Males,Age 3 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE4M,T1_1AGETM,Males,Age 4 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE5M,T1_1AGETM,Males,Age 5 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE6M,T1_1AGETM,Males,Age 6 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE7M,T1_1AGETM,Males,Age 7 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE8M,T1_1AGETM,Males,Age 8 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE9M,T1_1AGETM,Males,Age 9 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE10M,T1_1AGETM,Males,Age 10 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE11M,T1_1AGETM,Males,Age 11 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE12M,T1_1AGETM,Males,Age 12 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE13M,T1_1AGETM,Males,Age 13 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE14M,T1_1AGETM,Males,Age 14 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE15M,T1_1AGETM,Males,Age 15 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE16M,T1_1AGETM,Males,Age 16 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE17M,T1_1AGETM,Males,Age 17 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE18M,T1_1AGETM,Males,Age 18 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE19M,T1_1AGETM,Males,Age 19 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE20_24M,T1_1AGETM,Males,Age 20 - 24 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE25_29M,T1_1AGETM,Males,Age 25 - 29 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE30_34M,T1_1AGETM,Males,Age 30 - 34 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE35_39M,T1_1AGETM,Males,Age 35 - 39 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE40_44M,T1_1AGETM,Males,Age 40 - 44 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE45_49M,T1_1AGETM,Males,Age 45 - 49 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE50_54M,T1_1AGETM,Males,Age 50 - 54 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE55_59M,T1_1AGETM,Males,Age 55 - 59 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE60_64M,T1_1AGETM,Males,Age 60 - 64 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE65_69M,T1_1AGETM,Males,Age 65 - 69 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE70_74M,T1_1AGETM,Males,Age 70 - 74 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE75_79M,T1_1AGETM,Males,Age 75 - 79 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE80_84M,T1_1AGETM,Males,Age 80 - 84 - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGEGE_85M,T1_1AGETM,Males,Age 85 and over - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGETM,T1_1AGETM,Males,Total - Males,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE0F,T1_1AGETF,Females,Age 0 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE1F,T1_1AGETF,Females,Age 1 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE2F,T1_1AGETF,Females,Age 2 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE3F,T1_1AGETF,Females,Age 3 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE4F,T1_1AGETF,Females,Age 4 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE5F,T1_1AGETF,Females,Age 5 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE6F,T1_1AGETF,Females,Age 6 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE7F,T1_1AGETF,Females,Age 7 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE8F,T1_1AGETF,Females,Age 8 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE9F,T1_1AGETF,Females,Age 9 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE10F,T1_1AGETF,Females,Age 10 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE11F,T1_1AGETF,Females,Age 11 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE12F,T1_1AGETF,Females,Age 12 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE13F,T1_1AGETF,Females,Age 13 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE14F,T1_1AGETF,Females,Age 14 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE15F,T1_1AGETF,Females,Age 15 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE16F,T1_1AGETF,Females,Age 16 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE17F,T1_1AGETF,Females,Age 17 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE18F,T1_1AGETF,Females,Age 18 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE19F,T1_1AGETF,Females,Age 19 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE20_24F,T1_1AGETF,Females,Age 20 - 24 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE25_29F,T1_1AGETF,Females,Age 25 - 29 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE30_34F,T1_1AGETF,Females,Age 30 - 34 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE35_39F,T1_1AGETF,Females,Age 35 - 39 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE40_44F,T1_1AGETF,Females,Age 40 - 44 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE45_49F,T1_1AGETF,Females,Age 45 - 49 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE50_54F,T1_1AGETF,Females,Age 50 - 54 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE55_59F,T1_1AGETF,Females,Age 55 - 59 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE60_64F,T1_1AGETF,Females,Age 60 - 64 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE65_69F,T1_1AGETF,Females,Age 65 - 69 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE70_74F,T1_1AGETF,Females,Age 70 - 74 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE75_79F,T1_1AGETF,Females,Age 75 - 79 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGE80_84F,T1_1AGETF,Females,Age 80 - 84 - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGEGE_85F,T1_1AGETF,Females,Age 85 and over - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
,T1_1AGETF,T1_1AGETF,Females,Total - Females,Missing,Missing,Missing,"Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group"
"Theme 1: Sex, Age and Marital Status ",T1_2SGLM,T1_2TM,Males,Single - Males,Missing,Missing,Missing,Population by sex and marital status
,T1_2MARM,T1_2TM,Males,Married (incl. same sex civil partnership) - Males,Missing,Missing,Missing,Population by sex and marital status
,T1_2SEPM,T1_2TM,Males,Separated - Males,Missing,Missing,Missing,Population by sex and marital status
,T1_2DIVM,T1_2TM,Males,Divorced - Males,Missing,Missing,Missing,Population by sex and marital status
,T1_2WIDM,T1_2TM,Males,Widowed - Males,Missing,Missing,Missing,Population by sex and marital status
,T1_2TM,T1_2TM,Males,Total - Males,Missing,Missing,Missing,Population by sex and marital status
,T1_2SGLF,T1_2TF,Females,Single - Females,Missing,Missing,Missing,Population by sex and marital status
,T1_2MARF,T1_2TF,Females,Married (incl. same sex civil partnership) - Females,Missing,Missing,Missing,Population by sex and marital status
,T1_2SEPF,T1_2TF,Females,Separated - Females,Missing,Missing,Missing,Population by sex and marital status
,T1_2DIVF,T1_2TF,Females,Divorced - Females,Missing,Missing,Missing,Population by sex and marital status
,T1_2WIDF,T1_2TF,Females,Widowed - Females,Missing,Missing,Missing,Population by sex and marital status
,T1_2TF,T1_2TF,Females,Total - Females,Missing,Missing,Missing,Population by sex and marital status
,T1_2T,T1_2T,Persons,Total ,Missing,Missing,Missing,Population by sex and marital status
,T2_1TBP,T2_1TBP,Usually Resident Population,Total - Birthplace,Missing,Missing,Missing,Usually resident population by place of birth and nationality 
,T2_1IEC,T2_1TC,Usually Resident Population,Ireland - Citizenship,Missing,Missing,Missing,Usually resident population by place of birth and nationality 
,T2_1UKC,T2_1TC,Usually Resident Population,UK - Citizenship,Missing,Missing,Missing,Usually resident population by place of birth and nationality 
,T2_1PLC,T2_1TC,Usually Resident Population,Poland - Citizenship,Missing,Missing,Missing,Usually resident population by place of birth and nationality 
,T2_1INC,T2_1TC,Usually Resident Population,India - Citizenship,Missing,Missing,Missing,Usually resident population by place of birth and nationality 
,T2_1EUC,T2_1TC,Usually Resident Population,Other EU28 - Citizenship,Missing,Missing,Missing,Usually resident population by place of birth and nationality 
,T2_1RWC,T2_1TC,Usually Resident Population,Rest of world -Citizenship,Missing,Missing,Missing,Usually resident population by place of birth and nationality 
,T2_1NSC,T2_1TC,Usually Resident Population,Not stated -Citizenship,Missing,Missing,Missing,Usually resident population by place of birth and nationality 
,T2_1TC,T2_1TC,Usually Resident Population,Total - Citizenship,Missing,Missing,Missing,Usually resident population by place of birth and nationality 
,T2_2NS,T2_2T,Usually Resident Population,Not stated,Missing,Missing,Missing,Usually resident population by ethnic or cultural background 
,T2_2T,T2_2T,Usually Resident Population,Total,Missing,Missing,Missing,Usually resident population by ethnic or cultural background 
"Theme 2: Migration, Ethnicity, Religion and Foreign Languages",T2_3SA,T2_3T,Usually Resident Population,Same address,Missing,Missing,Missing,Usually resident population aged 1 year and over by usual residence 1 year before Census Day
,T2_3EC,T2_3T,Usually Resident Population,Elsewhere in county,Missing,Missing,Missing,Usually resident population aged 1 year and over by usual residence 1 year before Census Day
,T2_3EI,T2_3T,Usually Resident Population,Elsewhere in Ireland,Missing,Missing,Missing,Usually resident population aged 1 year and over by usual residence 1 year before Census Day
,T2_3T,T2_3T,Usually Resident Population,Total,Missing,Missing,Missing,Usually resident population aged 1 year and over by usual residence 1 year before Census Day
"Theme 2: Migration, Ethnicity, Religion and Foreign Languages",T2_4CA,T2_4T,Persons,Catholic,Missing,Missing,Missing,Population by religion
,T2_4OR,T2_4T,Persons,Other religion,Missing,Missing,Missing,Population by religion
,T2_4NR,T2_4T,Persons,No religion,Missing,Missing,Missing,Population by religion
,T2_4NS,T2_4T,Persons,Not stated,Missing,Missing,Missing,Population by religion
,T2_4T,T2_4T,Persons,Total,Missing,Missing,Missing,Population by religion
"Theme 2: Migration, Ethnicity, Religion and Foreign Languages",T2_5PL,T2_5T,Speakers of Foreign Languages,Polish,Missing,Missing,Missing,Speakers of foreign languages by language spoken 
,T2_5FR,T2_5T,Speakers of Foreign Languages,French,Missing,Missing,Missing,Speakers of foreign languages by language spoken 
,T2_5ES,T2_5T,Speakers of Foreign Languages,Spanish,Missing,Missing,Missing,Speakers of foreign languages by language spoken 
,T2_5OTH,T2_5T,Speakers of Foreign Languages,Other (incl. not stated),Missing,Missing,Missing,Speakers of foreign languages by language spoken 
,T2_5T,T2_5T,Speakers of Foreign Languages,Total,Missing,Missing,Missing,Speakers of foreign languages by language spoken 
"Theme 2: Migration, Ethnicity, Religion and Foreign Languages",T2_6VW,T2_6T,Speakers of Foreign Languages,Very well,Missing,Missing,Missing,Speakers of foreign languages by ability to speak English 
,T2_6W,T2_6T,Speakers of Foreign Languages,Well,Missing,Missing,Missing,Speakers of foreign languages by ability to speak English 
,T2_6NS,T2_6T,Speakers of Foreign Languages,Not stated,Missing,Missing,Missing,Speakers of foreign languages by ability to speak English 
,T2_6T,T2_6T,Speakers of Foreign Languages,Total,Missing,Missing,Missing,Speakers of foreign languages by ability to speak English 
Theme 3: Irish Language ,T3_1YES,T3_1T,Population aged 3 years and over,Yes,Missing,Missing,Missing,Population aged 3 years and over by ability to speak Irish
,T3_1NO,T3_1T,Population aged 3 years and over,No,Missing,Missing,Missing,Population aged 3 years and over by ability to speak Irish
,T3_1NS,T3_1T,Population aged 3 years and over,Not stated,Missing,Missing,Missing,Population aged 3 years and over by ability to speak Irish
,T3_1T,T3_1T,Population aged 3 years and over,Total,Missing,Missing,Missing,Population aged 3 years and over by ability to speak Irish
Theme 3: Irish Language ,T3_2DIM,T1_1AGETM,Males,Daily only within the education system - Males,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DIDOM,T1_1AGETM,Males,Daily within and daily outside the education system - Males,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DIWOM,T1_1AGETM,Males,Daily within and weekly outside the education system - Males,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DILOOM,T1_1AGETM,Males,Daily within and less often outside the education system - Males,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DINOM,T1_1AGETM,Males,Daily within and never outside the education system - Males,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DOESM,T1_1AGETM,Males,Daily only outside the education system - Males,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2WOESM,T1_1AGETM,Males,Weekly only outside the education system - Males,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2LOOESM,T1_1AGETM,Males,Less often only outside the education system - Males,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2NOESM,T1_1AGETM,Males,Never speaks Irish - Males,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2NSM,T1_1AGETM,Males,Not stated - Males,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2ALLM,T1_1AGETM,Males,All Irish speakers - Males,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DIF,T1_1AGETF,Females,Daily only within the education system - Females,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DIDOF,T1_1AGETF,Females,Daily within and daily outside the education system - Females,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DIWOF,T1_1AGETF,Females,Daily within and weekly outside the education system - Females,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DILOOF,T1_1AGETF,Females,Daily within and less often outside the education system - Females,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DINOF,T1_1AGETF,Females,Daily within and never outside the education system - Females,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DOESF,T1_1AGETF,Females,Daily only outside the education system - Females,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2WOESF,T1_1AGETF,Females,Weekly only outside the education system - Females,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2LOOESF,T1_1AGETF,Females,Less often only outside the education system - Females,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2NOESF,T1_1AGETF,Females,Never speaks Irish - Females,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2NSF,T1_1AGETF,Females,Not stated - Females,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2ALLF,T1_1AGETF,Females,All Irish speakers - Females,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DIT,T1_1AGETT,Persons,Daily only within the education system - Total,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DIDOT,T1_1AGETT,Persons,Daily within and daily outside the education system - Total,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DIWOT,T1_1AGETT,Persons,Daily within and weekly outside the education system - Total,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DILOOT,T1_1AGETT,Persons,Daily within and less often outside the education system - Total,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DINOT,T1_1AGETT,Persons,Daily within and never outside the education system - Total,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2DOEST,T1_1AGETT,Persons,Daily only outside the education system - Total,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2WOEST,T1_1AGETT,Persons,Weekly only outside the education system - Total,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2LOOEST,T1_1AGETT,Persons,Less often only outside the education system - Total,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2NOEST,T1_1AGETT,Persons,Never speaks Irish - Total,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2NST,T1_1AGETT,Persons,Not stated - Total,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
,T3_2ALLT,T1_1AGETT,Persons,All Irish speakers - Total,Missing,Missing,Missing,Irish speakers aged 3 years and over by frequency of speaking Irish
Theme 4: Families ,T4_1_2PF,T4_1_TF,Families,2 persons (No. of families),Missing,Missing,Missing,"Families, family members and children in families, by size of family"
