Health Region,IHA,CHN,Report
HSE Dublin and South East,HSE Dublin South and Wicklow,"Foxrock, Carrickmines and Shankill","<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/85-foxrock-carrickmines-and-shankill-hse-dublin-and-south-east.pdf"" target=""_blank"" title=""Foxrock, Carrickmines and Shankill summary report"">PDF</a>  "
HSE Dublin and Midlands,HSE Dublin South West,Clondalkin,"<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/86-clondalkin-hse-dublin-and-midlands.pdf"" target=""_blank"" title=""Clondalkin summary report"">PDF</a>  "
HSE Dublin and Midlands,HSE Dublin South City and West,Lucan,"<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/87-lucan-hse-dublin-and-midlands.pdf"" target=""_blank"" title=""Lucan summary report"">PDF</a>  "
HSE Dublin and Midlands,HSE Dublin South City and West,Ballyfermot and Palmerstown,"<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/88-ballyfermot-and-palmerstown-hse-dublin-and-midlands.pdf"" target=""_blank"" title=""Ballyfermot and Palmerstown summary report"">PDF</a>  "
HSE Dublin and Midlands,HSE Dublin South City and West,"Rathmines, Terenure and Templeogue","<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/89-rathmines-terenure-and-templeogue-hse-dublin-and-midlands.pdf"" target=""_blank"" title=""Rathmines, Terenure and Templeogue summary report"">PDF</a>  "
HSE Dublin and North East,HSE Dublin North City and West,Cabra Area Network,"<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/90-cabra-area-network-hse-dublin-and-north-east.pdf"" target=""_blank"" title=""Cabra Area Network summary report"">PDF</a>  "
HSE Dublin and North East,HSE Dublin North County,Kilbarrack Area Network,"<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/91-kilbarrack-area-network-hse-dublin-and-north-east.pdf"" target=""_blank"" title=""Kilbarrack Area Network summary report"">PDF</a>  "
HSE Dublin and North East,HSE Dublin North City and West,North Inner City Area Network,"<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/92-north-inner-city-area-network-hse-dublin-and-north-east.pdf"" target=""_blank"" title=""North Inner City Area Network summary report"">PDF</a>  "
HSE Dublin and North East,HSE Dublin North City and West,Clontarf Area Network,"<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/93-clontarf-area-network-hse-dublin-and-north-east.pdf"" target=""_blank"" title=""Clontarf Area Network summary report"">PDF</a>  "
HSE Dublin and Midlands,HSE Dublin South City and West,"Drimnagh, Crumlin, and Harold's Cross","<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/94-drimnagh-crumlin-and-harold-s-cross-hse-dublin-and-midlands.pdf"" target=""_blank"" title=""Drimnagh, Crumlin, and Harold's Cross summary report"">PDF</a>  "
HSE Dublin and Midlands,HSE Dublin South City and West,South Dublin Inner City,"<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/95-south-dublin-inner-city-hse-dublin-and-midlands.pdf"" target=""_blank"" title=""South Dublin Inner City summary report"">PDF</a>  "
HSE Dublin and South East,HSE Dublin South and Wicklow,"Donnybrook, Ranelagh and Ringsend","<a href=""https://healthregionprofiles.cso.ie/2022/chn/pdf/96-donnybrook-ranelagh-and-ringsend-hse-dublin-and-south-east.pdf"" target=""_blank"" title=""Donnybrook, Ranelagh and Ringsend summary report"">PDF</a>  "
