SA,PCT,CHO_CHN_No,CHN,CST_No,CST,IHA_No,IHA,Region,HR_abbr
087029004,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029005,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029006,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029007,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029008,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029009,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029010/01,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029010/02,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029011,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029012,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029013,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029014,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029015,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029016,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029017,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029018,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029019,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029020,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087029021,Celbridge,CHO 7 - 13,Northeast Kildare,CST 20,Dublin City / Southwest Team 2,B1,HSE Dublin South City and West,HSE Dublin and Midlands,DML
087030001,Naas,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087030002,Naas,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087030003,Naas,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087031001/01/087031001/087031007,Clane/Kilmeague,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087031001/02,Clane/Kilmeague,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087031002,Clane/Kilmeague,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087031003,Clane/Kilmeague,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087031004/01,Clane/Kilmeague,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087031004/02,Clane/Kilmeague,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087031005,Clane/Kilmeague,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087031006,Clane/Kilmeague,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087031008,Clane/Kilmeague,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087031009,Clane/Kilmeague,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087031010,Clane/Kilmeague,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087032001,Derrinturn,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087033001,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087033002,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087033003,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087033004,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087033005,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087033006,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087033007,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087033008,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034001,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034002,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034003,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034004,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034005,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034006,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034007,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034008,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034009,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034010,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034011,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034012,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034013,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034014,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034015,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034016,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034017,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034018,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034019,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034020,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034021,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034022,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034023,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034024,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034025,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034026,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034027,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034028,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034029,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034030,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087034031,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087035001,Derrinturn,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087035002,Derrinturn,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087036001,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087036002,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087037001,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087038001,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087038002,Newbridge,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087039001,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087040001,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087040002,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087040003,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087041001,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087041002,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087041003,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087042001,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087042002/01,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087042002/02,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087043001/087043002,Monasterevin/Rathangan,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087044001,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087045001,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087046001/01,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087046001/02,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047001/01,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047001/02,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047002/01,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047002/02,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047003/01,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047003/02,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047003/03,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047003/04,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047004,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047005/01,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047005/02,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047006,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047007,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047008,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047009,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047010,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047011,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047012,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047013,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047014,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047015,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047016,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047017,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047018,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047019,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047020,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047021,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047022,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087047023/087047024,Kilcock,CHO 7 - 14,Northwest Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048001,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048002,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048003,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048004,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048005,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048006,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048007,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048008,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048009,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048010,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048011,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048012,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087048013,Kilcullen,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087049001,Monasterevin/Rathangan,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087049002,Monasterevin/Rathangan,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050001,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050002,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050003,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050004,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050005,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050006,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050007,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050008,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050009,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050010,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050011,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050012,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050013,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050014,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050015,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050016,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050017,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050018,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050019,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050020,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050021,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050022,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050023,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050024,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050025/01,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050025/02,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050026,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050027,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050028,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050029,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050030,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050031,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050032/01,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050032/02,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087050032/03,Kildare,CHO 7 - 12,West and Central Kildare,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087051001,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087051002,Athy/Castledermot,CHO 7 - 11,South Kildare and West Wicklow,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052001,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052002,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052003,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052004,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052005,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052006,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052007,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052008,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052009,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052010,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052011,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052012/01,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052012/02,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
087052013,Kill,CHO 7 - 10,East Kildare and Blessington,CST 22,Naas,B3,HSE Kildare West Wicklow,HSE Dublin and Midlands,DML
